match_id,team,xg_for,xg_against,onclick,match,tooltip_lab
3916102,Cambridge United,0.74,0.97,"window.open(""https://www.fotmob.com//match/3916102/matchfacts/cambridge-united-vs-shrewsbury-town"")",Cambridge United vs Shrewsbury Town,"<b>Match</b>: Cambridge United vs Shrewsbury Town
<b>xG For</b>: 0.74
<b>xG Against</b>: 0.97"
3916102,Shrewsbury Town,0.97,0.74,"window.open(""https://www.fotmob.com//match/3916102/matchfacts/cambridge-united-vs-shrewsbury-town"")",Cambridge United vs Shrewsbury Town,"<b>Match</b>: Cambridge United vs Shrewsbury Town
<b>xG For</b>: 0.97
<b>xG Against</b>: 0.74"
3916103,Milton Keynes Dons,0.71,1.98,"window.open(""https://www.fotmob.com//match/3916103/matchfacts/milton-keynes-dons-vs-forest-green-rovers"")",Milton Keynes Dons vs Forest Green Rovers,"<b>Match</b>: Milton Keynes Dons vs Forest Green Rovers
<b>xG For</b>: 0.71
<b>xG Against</b>: 1.98"
3916103,Forest Green Rovers,1.98,0.71,"window.open(""https://www.fotmob.com//match/3916103/matchfacts/milton-keynes-dons-vs-forest-green-rovers"")",Milton Keynes Dons vs Forest Green Rovers,"<b>Match</b>: Milton Keynes Dons vs Forest Green Rovers
<b>xG For</b>: 1.98
<b>xG Against</b>: 0.71"
3916104,Lincoln City,0.54,0.52,"window.open(""https://www.fotmob.com//match/3916104/matchfacts/lincoln-city-vs-bolton-wanderers"")",Lincoln City vs Bolton Wanderers,"<b>Match</b>: Lincoln City vs Bolton Wanderers
<b>xG For</b>: 0.54
<b>xG Against</b>: 0.52"
3916104,Bolton Wanderers,0.52,0.54,"window.open(""https://www.fotmob.com//match/3916104/matchfacts/lincoln-city-vs-bolton-wanderers"")",Lincoln City vs Bolton Wanderers,"<b>Match</b>: Lincoln City vs Bolton Wanderers
<b>xG For</b>: 0.52
<b>xG Against</b>: 0.54"
3916105,Forest Green Rovers,1.48,1.09,"window.open(""https://www.fotmob.com//match/3916105/matchfacts/forest-green-rovers-vs-burton-albion"")",Forest Green Rovers vs Burton Albion,"<b>Match</b>: Forest Green Rovers vs Burton Albion
<b>xG For</b>: 1.48
<b>xG Against</b>: 1.09"
3916105,Burton Albion,1.09,1.48,"window.open(""https://www.fotmob.com//match/3916105/matchfacts/forest-green-rovers-vs-burton-albion"")",Forest Green Rovers vs Burton Albion,"<b>Match</b>: Forest Green Rovers vs Burton Albion
<b>xG For</b>: 1.09
<b>xG Against</b>: 1.48"
3916106,Derby County,1.21,0.37,"window.open(""https://www.fotmob.com//match/3916106/matchfacts/derby-county-vs-cambridge-united"")",Derby County vs Cambridge United,"<b>Match</b>: Derby County vs Cambridge United
<b>xG For</b>: 1.21
<b>xG Against</b>: 0.37"
3916106,Cambridge United,0.37,1.21,"window.open(""https://www.fotmob.com//match/3916106/matchfacts/derby-county-vs-cambridge-united"")",Derby County vs Cambridge United,"<b>Match</b>: Derby County vs Cambridge United
<b>xG For</b>: 0.37
<b>xG Against</b>: 1.21"
3916107,Bristol Rovers,1.9,2.36,"window.open(""https://www.fotmob.com//match/3916107/matchfacts/bristol-rovers-vs-exeter-city"")",Bristol Rovers vs Exeter City,"<b>Match</b>: Bristol Rovers vs Exeter City
<b>xG For</b>: 1.9
<b>xG Against</b>: 2.36"
3916107,Exeter City,2.36,1.9,"window.open(""https://www.fotmob.com//match/3916107/matchfacts/bristol-rovers-vs-exeter-city"")",Bristol Rovers vs Exeter City,"<b>Match</b>: Bristol Rovers vs Exeter City
<b>xG For</b>: 2.36
<b>xG Against</b>: 1.9"
3916108,Barnsley,1.1,0.84,"window.open(""https://www.fotmob.com//match/3916108/matchfacts/barnsley-vs-fleetwood-town"")",Barnsley vs Fleetwood Town,"<b>Match</b>: Barnsley vs Fleetwood Town
<b>xG For</b>: 1.1
<b>xG Against</b>: 0.84"
3916108,Fleetwood Town,0.84,1.1,"window.open(""https://www.fotmob.com//match/3916108/matchfacts/barnsley-vs-fleetwood-town"")",Barnsley vs Fleetwood Town,"<b>Match</b>: Barnsley vs Fleetwood Town
<b>xG For</b>: 0.84
<b>xG Against</b>: 1.1"
3916109,Wycombe Wanderers,1.35,1.97,"window.open(""https://www.fotmob.com//match/3916109/matchfacts/wycombe-wanderers-vs-bristol-rovers"")",Wycombe Wanderers vs Bristol Rovers,"<b>Match</b>: Wycombe Wanderers vs Bristol Rovers
<b>xG For</b>: 1.35
<b>xG Against</b>: 1.97"
3916109,Bristol Rovers,1.97,1.35,"window.open(""https://www.fotmob.com//match/3916109/matchfacts/wycombe-wanderers-vs-bristol-rovers"")",Wycombe Wanderers vs Bristol Rovers,"<b>Match</b>: Wycombe Wanderers vs Bristol Rovers
<b>xG For</b>: 1.97
<b>xG Against</b>: 1.35"
3916110,Port Vale,0.25,0.38,"window.open(""https://www.fotmob.com//match/3916110/matchfacts/port-vale-vs-morecambe"")",Port Vale vs Morecambe,"<b>Match</b>: Port Vale vs Morecambe
<b>xG For</b>: 0.25
<b>xG Against</b>: 0.38"
3916110,Morecambe,0.38,0.25,"window.open(""https://www.fotmob.com//match/3916110/matchfacts/port-vale-vs-morecambe"")",Port Vale vs Morecambe,"<b>Match</b>: Port Vale vs Morecambe
<b>xG For</b>: 0.38
<b>xG Against</b>: 0.25"
3916111,Burton Albion,0.7,1.83,"window.open(""https://www.fotmob.com//match/3916111/matchfacts/burton-albion-vs-shrewsbury-town"")",Burton Albion vs Shrewsbury Town,"<b>Match</b>: Burton Albion vs Shrewsbury Town
<b>xG For</b>: 0.7
<b>xG Against</b>: 1.83"
3916111,Shrewsbury Town,1.83,0.7,"window.open(""https://www.fotmob.com//match/3916111/matchfacts/burton-albion-vs-shrewsbury-town"")",Burton Albion vs Shrewsbury Town,"<b>Match</b>: Burton Albion vs Shrewsbury Town
<b>xG For</b>: 1.83
<b>xG Against</b>: 0.7"
3916112,Bolton Wanderers,1.19,0.81,"window.open(""https://www.fotmob.com//match/3916112/matchfacts/bolton-wanderers-vs-portsmouth"")",Bolton Wanderers vs Portsmouth,"<b>Match</b>: Bolton Wanderers vs Portsmouth
<b>xG For</b>: 1.19
<b>xG Against</b>: 0.81"
